data,regio_sanitaria,diagnostic,casos
2022-12-02,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,18
2022-12-02,Terres de l'Ebre,Faringoamigdalitis,70
2022-12-02,Terres de l'Ebre,COVID-19,26
2022-12-02,Terres de l'Ebre,Bronquiolitis,10
2022-12-02,Terres de l'Ebre,Altres IRA,235
2022-12-02,Penedès,Pneumònia,20
2022-12-02,No disponible,Faringoamigdalitis estreptocòccica,3
2022-12-02,Penedès,COVID-19,83
2022-12-02,No disponible,Escarlatina,1
2022-12-02,Girona,Escarlatina,12
2022-12-02,Girona,Faringoamigdalitis,261
2022-12-02,Girona,Faringoamigdalitis estreptocòccica,108
2022-12-02,Girona,Grip,143
2022-12-02,Girona,Impetigen,26
2022-12-02,Girona,Pneumònia,31
2022-12-02,Lleida,Altres IRA,465
2022-12-02,Lleida,Bronquiolitis,19
2022-12-02,No disponible,Faringoamigdalitis,11
2022-12-02,Lleida,COVID-19,59
2022-12-02,Barcelona Metropolitana Nord,Faringoamigdalitis,684
2022-12-02,No disponible,COVID-19,2
2022-12-02,No disponible,Bronquiolitis,1
2022-12-02,No disponible,Altres IRA,39
2022-12-02,Lleida,Escarlatina,1
2022-12-02,Lleida,Pneumònia,16
2022-12-02,Lleida,Impetigen,9
2022-12-02,Lleida,Grip,53
2022-12-02,Lleida,Faringoamigdalitis estreptocòccica,49
2022-12-02,Lleida,Faringoamigdalitis,133
2022-12-03,Penedès,COVID-19,26
2022-12-03,Terres de l'Ebre,Bronquiolitis,2
2022-12-03,Penedès,Pneumònia,10
2022-12-03,Penedès,Impetigen,3
2022-12-03,Penedès,Grip,27
2022-12-03,Penedès,Faringoamigdalitis estreptocòccica,36
2022-12-03,Penedès,Faringoamigdalitis,70
2022-12-03,Penedès,Escarlatina,1
2022-12-03,Penedès,Bronquiolitis,3
2022-12-03,Terres de l'Ebre,COVID-19,17
2022-12-03,Barcelona Ciutat,Impetigen,9
2022-12-03,Penedès,Altres IRA,204
2022-12-03,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,91
2022-12-03,Barcelona Metropolitana Nord,Grip,67
2022-12-03,Barcelona Metropolitana Nord,Impetigen,13
2022-12-03,Barcelona Metropolitana Nord,Pneumònia,33
2022-12-03,Barcelona Metropolitana Sud,Altres IRA,530
2022-12-03,Barcelona Metropolitana Sud,Bronquiolitis,6
2022-12-03,Barcelona Metropolitana Sud,COVID-19,64
2022-12-03,Barcelona Metropolitana Sud,Escarlatina,4
2022-12-03,Barcelona Metropolitana Sud,Faringoamigdalitis,204
2022-12-03,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,44
2022-12-03,Barcelona Metropolitana Sud,Grip,17
2022-12-03,Barcelona Metropolitana Sud,Impetigen,3
2022-12-03,Barcelona Metropolitana Sud,Pneumònia,11
2022-12-03,Camp de Tarragona,Altres IRA,327
2022-12-03,Camp de Tarragona,Bronquiolitis,5
2022-12-03,Barcelona Metropolitana Nord,Faringoamigdalitis,358
2022-12-03,Camp de Tarragona,COVID-19,31
2022-12-03,Barcelona Metropolitana Nord,Escarlatina,9
2022-12-03,Barcelona Metropolitana Nord,Bronquiolitis,15
2022-12-03,Alt Pirineu i Aran,Altres IRA,30
2022-12-03,Alt Pirineu i Aran,COVID-19,8
2022-12-03,Alt Pirineu i Aran,Faringoamigdalitis,11
2022-12-03,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,3
2022-12-03,Alt Pirineu i Aran,Grip,1
2022-12-03,Alt Pirineu i Aran,Pneumònia,1
2022-12-03,Barcelona Ciutat,Altres IRA,434
2022-12-03,Barcelona Ciutat,Bronquiolitis,4
2022-12-03,Barcelona Ciutat,COVID-19,84
2022-12-03,Barcelona Ciutat,Escarlatina,4
2022-12-03,Barcelona Ciutat,Faringoamigdalitis,165
2022-12-03,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,41
2022-12-03,Barcelona Ciutat,Grip,23
2022-12-03,Barcelona Ciutat,Pneumònia,24
2022-12-03,Barcelona Metropolitana Nord,Altres IRA,1015
2022-12-03,Barcelona Metropolitana Nord,COVID-19,111
2022-12-03,Camp de Tarragona,Escarlatina,3
2022-12-03,Camp de Tarragona,Faringoamigdalitis,127
2022-12-03,Camp de Tarragona,Faringoamigdalitis estreptocòccica,42
2022-12-03,Lleida,Altres IRA,234
2022-12-03,Lleida,Bronquiolitis,6
2022-12-03,Lleida,COVID-19,26
2022-12-03,Lleida,Faringoamigdalitis,92
2022-12-03,Lleida,Faringoamigdalitis estreptocòccica,22
2022-12-03,Lleida,Grip,16
2022-12-03,Lleida,Impetigen,1
2022-12-03,Lleida,Pneumònia,7
2022-12-03,No disponible,Altres IRA,30
2022-12-03,No disponible,Bronquiolitis,1
2022-12-03,No disponible,COVID-19,2
2022-12-03,No disponible,Faringoamigdalitis,13
2022-12-03,No disponible,Faringoamigdalitis estreptocòccica,1
2022-12-03,No disponible,Grip,3
2022-12-03,No disponible,Pneumònia,1
2022-12-03,Girona,Pneumònia,12
2022-12-03,Girona,Impetigen,9
2022-12-03,Girona,Grip,49
2022-12-03,Girona,Faringoamigdalitis estreptocòccica,53
2022-12-03,Camp de Tarragona,Grip,29
2022-12-03,Camp de Tarragona,Impetigen,4
2022-12-03,Camp de Tarragona,Pneumònia,7
2022-12-03,Catalunya Central,Altres IRA,170
2022-12-03,Catalunya Central,Bronquiolitis,1
2022-12-03,Catalunya Central,COVID-19,37
2022-12-03,Catalunya Central,Faringoamigdalitis,61
2022-12-03,Terres de l'Ebre,Faringoamigdalitis,46
2022-12-03,Catalunya Central,Faringoamigdalitis estreptocòccica,23
2022-12-03,Catalunya Central,Impetigen,2
2022-12-03,Catalunya Central,Pneumònia,4
2022-12-03,Girona,Altres IRA,446
2022-12-03,Girona,Bronquiolitis,13
2022-12-03,Girona,COVID-19,43
2022-12-03,Girona,Escarlatina,4
2022-12-03,Girona,Faringoamigdalitis,161
2022-12-03,Catalunya Central,Grip,9
2022-12-03,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,7
2022-12-03,Terres de l'Ebre,Altres IRA,113
2022-12-03,Terres de l'Ebre,Impetigen,1
2022-12-03,Terres de l'Ebre,Pneumònia,3
2022-12-03,Terres de l'Ebre,Grip,2
2022-12-04,Barcelona Metropolitana Sud,Bronquiolitis,6
2022-12-04,Barcelona Metropolitana Sud,COVID-19,45
2022-12-04,Barcelona Metropolitana Sud,Escarlatina,3
2022-12-04,Barcelona Metropolitana Sud,Faringoamigdalitis,157
2022-12-04,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,37
2022-12-04,Barcelona Metropolitana Sud,Grip,25
2022-12-04,Barcelona Metropolitana Sud,Impetigen,2
2022-12-04,Barcelona Metropolitana Sud,Pneumònia,15
2022-12-04,Camp de Tarragona,Altres IRA,273
2022-12-04,Camp de Tarragona,COVID-19,23
2022-12-04,Barcelona Metropolitana Sud,Altres IRA,571
2022-12-04,Camp de Tarragona,Escarlatina,1
2022-12-04,Camp de Tarragona,Faringoamigdalitis,106
2022-12-04,Camp de Tarragona,Faringoamigdalitis estreptocòccica,27
2022-12-04,Camp de Tarragona,Grip,46
2022-12-04,Camp de Tarragona,Impetigen,6
2022-12-04,Camp de Tarragona,Pneumònia,19
2022-12-04,Catalunya Central,Altres IRA,160
2022-12-04,Catalunya Central,Bronquiolitis,3
2022-12-04,Camp de Tarragona,Bronquiolitis,5
2022-12-04,Barcelona Metropolitana Nord,Impetigen,2
2022-12-04,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,59
2022-12-04,Catalunya Central,COVID-19,43
2022-12-04,Alt Pirineu i Aran,Altres IRA,20
2022-12-04,Alt Pirineu i Aran,COVID-19,3
2022-12-04,Alt Pirineu i Aran,Faringoamigdalitis,9
2022-12-04,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,1
2022-12-04,Alt Pirineu i Aran,Grip,2
2022-12-04,Alt Pirineu i Aran,Pneumònia,2
2022-12-04,Barcelona Ciutat,Altres IRA,363
2022-12-04,Barcelona Ciutat,Bronquiolitis,4
2022-12-04,Barcelona Ciutat,COVID-19,84
2022-12-04,Barcelona Metropolitana Nord,Grip,73
2022-12-04,Barcelona Ciutat,Escarlatina,7
2022-12-04,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,52
2022-12-04,Barcelona Ciutat,Grip,35
2022-12-04,Barcelona Ciutat,Impetigen,4
2022-12-04,Barcelona Ciutat,Pneumònia,22
2022-12-04,Barcelona Metropolitana Nord,Altres IRA,810
2022-12-04,Barcelona Metropolitana Nord,Bronquiolitis,7
2022-12-04,Barcelona Metropolitana Nord,COVID-19,123
2022-12-04,Barcelona Metropolitana Nord,Escarlatina,5
2022-12-04,Barcelona Metropolitana Nord,Faringoamigdalitis,277
2022-12-04,Barcelona Ciutat,Faringoamigdalitis,154
2022-12-04,Catalunya Central,Faringoamigdalitis,62
2022-12-04,Barcelona Metropolitana Nord,Pneumònia,38
2022-12-04,Catalunya Central,Grip,15
2022-12-04,No disponible,Faringoamigdalitis estreptocòccica,4
2022-12-04,No disponible,Grip,2
2022-12-04,Penedès,Altres IRA,241
2022-12-04,Penedès,Bronquiolitis,4
2022-12-04,Penedès,COVID-19,31
2022-12-04,Penedès,Escarlatina,3
2022-12-04,Penedès,Faringoamigdalitis,107
2022-12-04,Penedès,Faringoamigdalitis estreptocòccica,23
2022-12-04,Penedès,Impetigen,2
2022-12-04,No disponible,Faringoamigdalitis,10
2022-12-04,Penedès,Pneumònia,11
2022-12-04,Terres de l'Ebre,Bronquiolitis,3
2022-12-04,Terres de l'Ebre,COVID-19,7
2022-12-04,Terres de l'Ebre,Escarlatina,1
2022-12-04,Terres de l'Ebre,Faringoamigdalitis,49
2022-12-04,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,15
2022-12-04,Terres de l'Ebre,Grip,11
2022-12-04,Terres de l'Ebre,Impetigen,1
2022-12-04,Catalunya Central,Faringoamigdalitis estreptocòccica,20
2022-12-04,Terres de l'Ebre,Pneumònia,2
2022-12-04,Terres de l'Ebre,Altres IRA,121
2022-12-04,No disponible,COVID-19,1
2022-12-04,Penedès,Grip,21
2022-12-04,Catalunya Central,Pneumònia,9
2022-12-04,Catalunya Central,Impetigen,2
2022-12-04,No disponible,Bronquiolitis,1
2022-12-04,Girona,Altres IRA,500
2022-12-04,Girona,Bronquiolitis,8
2022-12-04,Girona,COVID-19,41
2022-12-04,Girona,Escarlatina,3
2022-12-04,Girona,Faringoamigdalitis,186
2022-12-04,Girona,Faringoamigdalitis estreptocòccica,62
2022-12-04,Girona,Impetigen,19
2022-12-04,Girona,Pneumònia,9
2022-12-04,Girona,Grip,24
2022-12-04,Lleida,Impetigen,3
2022-12-04,Lleida,Bronquiolitis,9
2022-12-04,Lleida,COVID-19,27
2022-12-04,Lleida,Escarlatina,2
2022-12-04,Lleida,Faringoamigdalitis,87
2022-12-04,Lleida,Faringoamigdalitis estreptocòccica,21
2022-12-04,Lleida,Grip,26
2022-12-04,Lleida,Altres IRA,225
2022-12-04,Lleida,Pneumònia,7
2022-12-04,No disponible,Altres IRA,27
2022-12-05,Girona,Pneumònia,34
2022-12-05,Lleida,Altres IRA,582
2022-12-05,Lleida,Bronquiolitis,16
2022-12-05,Lleida,COVID-19,67
2022-12-05,Lleida,Grip,74
2022-12-05,Lleida,Faringoamigdalitis,151
2022-12-05,Girona,Impetigen,26
2022-12-05,Lleida,Faringoamigdalitis estreptocòccica,48
2022-12-05,Lleida,Escarlatina,5
2022-12-05,Girona,Grip,167
2022-12-05,Catalunya Central,Faringoamigdalitis,168
2022-12-05,Girona,Faringoamigdalitis,328
2022-12-05,Girona,Escarlatina,11
2022-12-05,Girona,COVID-19,144
2022-12-05,Girona,Bronquiolitis,43
2022-12-05,Girona,Altres IRA,1164
2022-12-05,Catalunya Central,Pneumònia,26
2022-12-05,Catalunya Central,Impetigen,7
2022-12-05,Catalunya Central,Grip,72
2022-12-05,Catalunya Central,Faringoamigdalitis estreptocòccica,64
2022-12-05,Lleida,Impetigen,5
2022-12-05,Girona,Faringoamigdalitis estreptocòccica,132
2022-12-05,Lleida,Pneumònia,14
2022-12-05,Terres de l'Ebre,Grip,21
2022-12-05,No disponible,COVID-19,4
2022-12-05,Catalunya Central,Escarlatina,7
2022-12-05,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,15
2022-12-05,Terres de l'Ebre,Faringoamigdalitis,81
2022-12-05,Terres de l'Ebre,Escarlatina,1
2022-12-05,Terres de l'Ebre,COVID-19,19
2022-12-05,Terres de l'Ebre,Bronquiolitis,7
2022-12-05,Terres de l'Ebre,Altres IRA,294
2022-12-05,Penedès,Pneumònia,11
2022-12-05,Penedès,Impetigen,11
2022-12-05,Penedès,Grip,78
2022-12-05,Penedès,Faringoamigdalitis estreptocòccica,78
2022-12-05,Penedès,Faringoamigdalitis,181
2022-12-05,Penedès,Escarlatina,11
2022-12-05,Penedès,COVID-19,133
2022-12-05,Penedès,Bronquiolitis,18
2022-12-05,Penedès,Altres IRA,736
2022-12-05,No disponible,Pneumònia,2
2022-12-05,No disponible,Impetigen,1
2022-12-05,No disponible,Grip,2
2022-12-05,No disponible,Faringoamigdalitis estreptocòccica,4
2022-12-05,No disponible,Faringoamigdalitis,16
2022-12-05,No disponible,Altres IRA,59
2022-12-05,Catalunya Central,COVID-19,202
2022-12-05,Alt Pirineu i Aran,Altres IRA,97
2022-12-05,Catalunya Central,Altres IRA,680
2022-12-05,Barcelona Metropolitana Nord,Bronquiolitis,84
2022-12-05,Barcelona Metropolitana Nord,Altres IRA,3365
2022-12-05,Barcelona Ciutat,Pneumònia,82
2022-12-05,Barcelona Ciutat,Impetigen,50
2022-12-05,Barcelona Ciutat,Grip,224
2022-12-05,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,144
2022-12-05,Barcelona Ciutat,Faringoamigdalitis,407
2022-12-05,Barcelona Ciutat,Escarlatina,34
2022-12-05,Barcelona Ciutat,COVID-19,348
2022-12-05,Barcelona Metropolitana Nord,COVID-19,593
2022-12-05,Barcelona Ciutat,Bronquiolitis,71
2022-12-05,Alt Pirineu i Aran,Pneumònia,1
2022-12-05,Alt Pirineu i Aran,Impetigen,1
2022-12-05,Alt Pirineu i Aran,Grip,11
2022-12-05,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,10
2022-12-05,Alt Pirineu i Aran,Faringoamigdalitis,32
2022-12-05,Alt Pirineu i Aran,Escarlatina,5
2022-12-05,Alt Pirineu i Aran,COVID-19,24
2022-12-05,Alt Pirineu i Aran,Bronquiolitis,4
2022-12-05,Terres de l'Ebre,Impetigen,1
2022-12-05,Barcelona Ciutat,Altres IRA,1892
2022-12-05,Catalunya Central,Bronquiolitis,23
2022-12-05,Barcelona Metropolitana Nord,Escarlatina,36
2022-12-05,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,268
2022-12-05,Camp de Tarragona,Pneumònia,32
2022-12-05,Camp de Tarragona,Impetigen,20
2022-12-05,Camp de Tarragona,Grip,152
2022-12-05,Camp de Tarragona,Faringoamigdalitis estreptocòccica,57
2022-12-05,Camp de Tarragona,Faringoamigdalitis,277
2022-12-05,Camp de Tarragona,Escarlatina,8
2022-12-05,Camp de Tarragona,COVID-19,145
2022-12-05,Camp de Tarragona,Bronquiolitis,16
2022-12-05,Camp de Tarragona,Altres IRA,896
2022-12-05,Barcelona Metropolitana Nord,Faringoamigdalitis,898
2022-12-05,Barcelona Metropolitana Sud,Pneumònia,64
2022-12-05,Barcelona Metropolitana Sud,Grip,190
2022-12-05,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,153
2022-12-05,Barcelona Metropolitana Sud,Faringoamigdalitis,458
2022-12-05,Barcelona Metropolitana Sud,Escarlatina,17
2022-12-05,Barcelona Metropolitana Sud,COVID-19,241
2022-12-05,Barcelona Metropolitana Sud,Bronquiolitis,47
2022-12-05,Barcelona Metropolitana Sud,Altres IRA,1914
2022-12-05,Barcelona Metropolitana Nord,Pneumònia,99
2022-12-05,Barcelona Metropolitana Nord,Impetigen,66
2022-12-05,Barcelona Metropolitana Nord,Grip,428
2022-12-05,Barcelona Metropolitana Sud,Impetigen,33
2022-12-05,Terres de l'Ebre,Pneumònia,3
2022-12-06,Alt Pirineu i Aran,Bronquiolitis,1
2022-12-06,Alt Pirineu i Aran,Altres IRA,23
2022-12-06,Alt Pirineu i Aran,COVID-19,7
2022-12-06,Barcelona Metropolitana Sud,Grip,24
2022-12-06,Barcelona Metropolitana Sud,Impetigen,4
2022-12-06,Barcelona Metropolitana Sud,Pneumònia,13
2022-12-06,Camp de Tarragona,Altres IRA,343
2022-12-06,Camp de Tarragona,Bronquiolitis,4
2022-12-06,Camp de Tarragona,COVID-19,38
2022-12-06,Camp de Tarragona,Escarlatina,1
2022-12-06,Camp de Tarragona,Faringoamigdalitis,115
2022-12-06,Camp de Tarragona,Faringoamigdalitis estreptocòccica,28
2022-12-06,Camp de Tarragona,Grip,49
2022-12-06,Camp de Tarragona,Impetigen,6
2022-12-06,Camp de Tarragona,Pneumònia,14
2022-12-06,Catalunya Central,Altres IRA,222
2022-12-06,Catalunya Central,Bronquiolitis,3
2022-12-06,Catalunya Central,COVID-19,45
2022-12-06,Catalunya Central,Faringoamigdalitis,87
2022-12-06,Catalunya Central,Faringoamigdalitis estreptocòccica,26
2022-12-06,Catalunya Central,Grip,15
2022-12-06,Catalunya Central,Impetigen,1
2022-12-06,Catalunya Central,Pneumònia,1
2022-12-06,Girona,Altres IRA,439
2022-12-06,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,53
2022-12-06,Barcelona Metropolitana Sud,Faringoamigdalitis,163
2022-12-06,Barcelona Metropolitana Sud,Escarlatina,1
2022-12-06,Barcelona Metropolitana Sud,COVID-19,46
2022-12-06,Barcelona Metropolitana Nord,Altres IRA,931
2022-12-06,Barcelona Ciutat,Pneumònia,20
2022-12-06,Barcelona Ciutat,Impetigen,3
2022-12-06,Barcelona Ciutat,Grip,20
2022-12-06,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,30
2022-12-06,Barcelona Ciutat,Faringoamigdalitis,152
2022-12-06,Barcelona Ciutat,Escarlatina,1
2022-12-06,Barcelona Ciutat,COVID-19,83
2022-12-06,Barcelona Ciutat,Altres IRA,384
2022-12-06,Alt Pirineu i Aran,Pneumònia,2
2022-12-06,Girona,Bronquiolitis,5
2022-12-06,Alt Pirineu i Aran,Impetigen,1
2022-12-06,Alt Pirineu i Aran,Faringoamigdalitis,13
2022-12-06,Barcelona Metropolitana Nord,Escarlatina,5
2022-12-06,Barcelona Metropolitana Nord,Bronquiolitis,5
2022-12-06,Barcelona Metropolitana Nord,Faringoamigdalitis,307
2022-12-06,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,60
2022-12-06,Barcelona Metropolitana Nord,Grip,48
2022-12-06,Barcelona Metropolitana Nord,Impetigen,7
2022-12-06,Barcelona Metropolitana Nord,Pneumònia,29
2022-12-06,Barcelona Metropolitana Sud,Altres IRA,555
2022-12-06,Barcelona Metropolitana Sud,Bronquiolitis,13
2022-12-06,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,7
2022-12-06,Girona,COVID-19,54
2022-12-06,Barcelona Metropolitana Nord,COVID-19,147
2022-12-06,Girona,Faringoamigdalitis,150
2022-12-06,Penedès,Altres IRA,253
2022-12-06,Penedès,Bronquiolitis,2
2022-12-06,Penedès,COVID-19,37
2022-12-06,Penedès,Faringoamigdalitis,95
2022-12-06,Penedès,Faringoamigdalitis estreptocòccica,36
2022-12-06,Penedès,Grip,27
2022-12-06,Penedès,Pneumònia,7
2022-12-06,Terres de l'Ebre,Altres IRA,139
2022-12-06,Terres de l'Ebre,Bronquiolitis,2
2022-12-06,Terres de l'Ebre,COVID-19,11
2022-12-06,Terres de l'Ebre,Faringoamigdalitis,47
2022-12-06,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,14
2022-12-06,Terres de l'Ebre,Grip,10
2022-12-06,Terres de l'Ebre,Impetigen,4
2022-12-06,Girona,Escarlatina,4
2022-12-06,No disponible,Grip,1
2022-12-06,No disponible,Faringoamigdalitis estreptocòccica,6
2022-12-06,Penedès,Impetigen,3
2022-12-06,No disponible,COVID-19,3
2022-12-06,Girona,Grip,55
2022-12-06,No disponible,Faringoamigdalitis,15
2022-12-06,Girona,Faringoamigdalitis estreptocòccica,56
2022-12-06,Girona,Impetigen,7
2022-12-06,Girona,Pneumònia,10
2022-12-06,Lleida,Altres IRA,246
2022-12-06,Lleida,COVID-19,27
2022-12-06,Lleida,Escarlatina,1
2022-12-06,Lleida,Bronquiolitis,4
2022-12-06,Lleida,Faringoamigdalitis estreptocòccica,42
2022-12-06,Lleida,Grip,30
2022-12-06,Lleida,Impetigen,4
2022-12-06,Lleida,Pneumònia,5
2022-12-06,No disponible,Altres IRA,34
2022-12-06,No disponible,Bronquiolitis,1
2022-12-06,Lleida,Faringoamigdalitis,97
2022-12-07,Barcelona Metropolitana Nord,Faringoamigdalitis,779
2022-12-07,Barcelona Metropolitana Sud,Altres IRA,1717
2022-12-07,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,199
2022-12-07,Barcelona Metropolitana Nord,Grip,505
2022-12-07,Barcelona Metropolitana Nord,Impetigen,53
2022-12-07,Barcelona Metropolitana Nord,Pneumònia,129
2022-12-07,Barcelona Metropolitana Sud,Bronquiolitis,39
2022-12-07,Barcelona Metropolitana Sud,Pneumònia,58
2022-12-07,Barcelona Metropolitana Sud,Escarlatina,6
2022-12-07,Barcelona Metropolitana Sud,Faringoamigdalitis,364
2022-12-07,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,124
2022-12-07,Barcelona Metropolitana Sud,Grip,177
2022-12-07,Barcelona Metropolitana Sud,Impetigen,22
2022-12-07,Camp de Tarragona,Altres IRA,797
2022-12-07,Camp de Tarragona,Bronquiolitis,24
2022-12-07,Barcelona Metropolitana Nord,Escarlatina,20
2022-12-07,Barcelona Metropolitana Sud,COVID-19,210
2022-12-07,Barcelona Metropolitana Nord,COVID-19,507
2022-12-07,Penedès,Impetigen,16
2022-12-07,Barcelona Metropolitana Nord,Altres IRA,3270
2022-12-07,Penedès,Faringoamigdalitis,215
2022-12-07,Penedès,Faringoamigdalitis estreptocòccica,78
2022-12-07,Penedès,Grip,95
2022-12-07,Camp de Tarragona,COVID-19,100
2022-12-07,Penedès,Pneumònia,21
2022-12-07,Terres de l'Ebre,Altres IRA,271
2022-12-07,Terres de l'Ebre,Bronquiolitis,7
2022-12-07,Terres de l'Ebre,COVID-19,30
2022-12-07,Terres de l'Ebre,Escarlatina,4
2022-12-07,Terres de l'Ebre,Faringoamigdalitis,75
2022-12-07,Terres de l'Ebre,Faringoamigdalitis estreptocòccica,25
2022-12-07,Terres de l'Ebre,Grip,16
2022-12-07,Barcelona Ciutat,Faringoamigdalitis,495
2022-12-07,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,151
2022-12-07,Barcelona Ciutat,Grip,269
2022-12-07,Barcelona Ciutat,Impetigen,37
2022-12-07,Barcelona Ciutat,Pneumònia,78
2022-12-07,Barcelona Metropolitana Nord,Bronquiolitis,82
2022-12-07,Camp de Tarragona,Escarlatina,8
2022-12-07,Girona,Escarlatina,10
2022-12-07,Camp de Tarragona,Faringoamigdalitis estreptocòccica,44
2022-12-07,Lleida,COVID-19,78
2022-12-07,Lleida,Escarlatina,3
2022-12-07,Lleida,Faringoamigdalitis,163
2022-12-07,Lleida,Faringoamigdalitis estreptocòccica,54
2022-12-07,Lleida,Grip,85
2022-12-07,Lleida,Impetigen,9
2022-12-07,Lleida,Pneumònia,10
2022-12-07,No disponible,Altres IRA,59
2022-12-07,No disponible,Bronquiolitis,1
2022-12-07,No disponible,COVID-19,6
2022-12-07,No disponible,Escarlatina,2
2022-12-07,No disponible,Faringoamigdalitis,21
